1012163,5 Stillwater Road,105,40,07825
1011829,5050 Liberty Ave,106,40,15224
1018396,401 N MortonSt,107,40,47404
1018563,1601 S Rogers St,107,40,47403
1019932,4335 Glendale Milford Road,108,40,45242
1020098,1837 Plaudit Place,109,40,40509
1019372,102 S Main St,109,40,45817
1019440,360 N Main St,110,40,46714
1018092,1415 Key Highway,111,40,21230
1018313,10TH & GROVE  - SUMMER MARKET,112,40,83702
1018316,516 S. 8th Street,112,40,83702
1020101,1961 Burlington Pike,113,40,41005
1006833,7th and Story Street,113,40,50036
1019318,1931 Boone Village Shopping Center,114,40,65233
1019693,90 Town Center St,115,40,24083
1018394,6th Street and Main Street,116,40,58318
1001526,304 N. Main Street,116,40,59632
1019165,15200 Annapolis Road,117,40,20715
1020096,2420 Center Street,118,40,41129
1020099,10699 US-60,118,40,41102
1019205,319 N. Lake St,119,40,49712
1021248,5401 south braeswood,119,40,77096
1018227,1 JFK Memorial Dr,120,40,02184
1002407,570 Western Ave.,121,40,05301
1011075,80 Flat St.,121,40,05301
1020113,3215 Quicksand Road,122,40,41339
1018556,1400 Park Ave,123,40,98337
1019146,1 Vogt Drive,123,40,08807
1018756,20 N Main Street,124,41,84302
1005483,"Hitchcock Free Academy, a community center parking lot, at  2 Brookfield Rd.",125,41,01010
1019905,807 Broad St.,125,41,02907
1019257,161 S Main St,126,41,22815
1019984,45 School St,127,41,02301
1019794,925 E. Mt. Vernon Avenue,127,41,43203
1019527,15786 HWY 101 SOUTH,128,41,97415
1021210,Centre Street West PArking Lot,128,41,02446
1021736,6425 Wornall Road,129,41,64113
1018891,15487 Citrus Way,129,41,34614
1021515,116 Main Street,129,41,47012
1021262,840 Upper Front St,130,41,13905
1019906,201 Thayer St,130,41,02906
1019727,61 N. Green Street,130,41,46112
1017968,Corner of Hwy 8 and N Alvey Street,131,41,54819
1008607,277 Pleasant Hill Rd,131,41,04011
1021311,775 Lancaster Avenue,131,41,19010
1019218,100 N. First Street,132,41,23664
1008953,99 Main Street,133,41,04416
1000843,"150 N. Third Street Burbank, CA 91502",133,41,91502
1019492,5671 Roberts Parkway,133,41,22015
1021524,626 County Road,134,42,57523
1019965,345 Pine Street,135,42,05401
1021728,75 Tinkham Lane,135,42,02830
1002567,701 Cedar,135,42,36037
1001362,Uptown Butte,136,42,59701
1021238,7930 Fall Creek Bend,136,42,77396
1021614,2022 S Scott St,137,42,46613
1020089,7 0 Main Street,138,42,42211
1004927,600 Cagan Park Ave.,138,42,34714
1019922,891 Mountain Ranch Road,139,42,95249
1019978,505 S. Algiers St.,139,42,95247
1018263,Pearl St,139,42,05819
1019980,3920 N Greenbay Rd,140,42,53404
1020188,"California Avenue, at El Camino",141,42,94306
1018459,22810 Three Notch Road,142,42,20619
1019997,2220 Ventura Blvd.,143,42,93010
1020160,1000 Main Street,144,42,93428
1020183,Camden Avenue and Union Avenue,144,42,95124
1002674,333 Erlanger Ave. (corner of 3rd. St.),144,42,70458
1021575,Burke Junction Shopping Certer,144,42,95672
1020117,7634 Alexandria Pike,145,42,41001
1020118,3504 Alexandria Pike,145,42,41075
1020119,709 Monmouth St,145,42,41071
1020184,Campbell Avenue & Central Avenue,145,42,95008
1009034,200 Harding Street,146,42,01604
1019810,36 East Canal Street,147,42,43055
1021202,127 West Center Street,148,42,14103
1012038,7248 Owensmouth st,148,42,91303
1019772,500 North Ridge Road,148,42,48188
1021435,300 Market Ave N,149,42,44702
1021294,SE 47th Terrace & SE 10th Place,149,42,33904
1021655,35 S Spanish Street,150,42,63703
